Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc_Urban,Total_Beneficiaries_Urban,Unique_Providers_Urban,Provider_Density_Urban,Urban_Rural_Urban,Rndrng_Prvdr_RUCA_Desc_Rural,Total_Beneficiaries_Rural,Unique_Providers_Rural,Provider_Density_Rural,Urban_Rural_Rural,Gap_Ratio,Urban_Patients,Rural_Patients,Urban_Providers,Rural_Providers,Urban_Patients_per_Provider,Rural_Patients_per_Provider
FL,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",743,7,0.009421265141318977,Urban,0,0.0,0.0,0.0,0,inf,743,0.0,7,0.0,106.14285714285714,inf
FL,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",72,1,0.013888888888888888,Urban,0,0.0,0.0,0.0,0,inf,72,0.0,1,0.0,72.0,inf
FL,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1321,8,0.006056018168054504,Urban,0,0.0,0.0,0.0,0,inf,1321,0.0,8,0.0,165.125,inf
FL,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",78834,553,0.007014739833066951,Urban,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",156.0,2.0,0.01282051282051282,Rural,0.5471497069792222,78834,156.0,553,2.0,142.55696202531647,78.0
FL,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1586,22,0.013871374527112233,Urban,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",156.0,2.0,0.01282051282051282,Rural,1.0819672131147542,1586,156.0,22,2.0,72.0909090909091,78.0
FL,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",266,4,0.015037593984962405,Urban,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",156.0,2.0,0.01282051282051282,Rural,1.1729323308270676,266,156.0,4,2.0,66.5,78.0
FL,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",3624,21,0.005794701986754967,Urban,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",156.0,2.0,0.01282051282051282,Rural,0.45198675496688745,3624,156.0,21,2.0,172.57142857142858,78.0
GA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25753,268,0.010406554576165884,Urban,"Micropolitan low commuting: primary flow 10% to <30% to a urban cluster of 10,000 to 49,999",193.0,1.0,0.0051813471502590676,Rural,2.008465033200016,25753,193.0,268,1.0,96.09328358208955,193.0
GA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25753,268,0.010406554576165884,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",276.0,1.0,0.0036231884057971015,Rural,2.872209063021784,25753,276.0,268,1.0,96.09328358208955,276.0
GA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25753,268,0.010406554576165884,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",394.0,2.0,0.005076142131979695,Rural,2.0500912515046794,25753,394.0,268,2.0,96.09328358208955,197.0
GA,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",93,2,0.021505376344086023,Urban,"Micropolitan low commuting: primary flow 10% to <30% to a urban cluster of 10,000 to 49,999",193.0,1.0,0.0051813471502590676,Rural,4.150537634408602,93,193.0,2,1.0,46.5,193.0
GA,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",93,2,0.021505376344086023,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",276.0,1.0,0.0036231884057971015,Rural,5.935483870967742,93,276.0,2,1.0,46.5,276.0
