Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
07730,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,17,129.97952381,146.97952381
07733,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,19,127.24111111,146.24111111000002
07739,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,28,131.58238095,159.58238095
07746,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,22,28.152,50.152
07747,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,40,410.41627778000003,450.41627778000003
07748,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,16,701.82466667,717.82466667
07751,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,139,132.63430815499999,135.8171540775
07753,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,57,809.8202301199999,866.8202301199999
07755,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,21,130.77,151.77
07834,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,46,355.41901961,401.41901961
07840,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,93,393.8009252625,243.40046263125
07860,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",2,136,232.9059111748,184.4529555874
07871,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,43,853.050314285,448.0251571425
07901,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,22,29.114827586,51.114827586000004
07920,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,92,458.24270772,275.12135386
07922,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,64,396.28620044333337,460.28620044333337
07932,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,76,493.36927648,189.78975882666668
07960,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,130,159.03744166083334,96.34581388694444
07974,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,21,170.68635593,191.68635593
08002,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,44,682.56428571,726.56428571
08003,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,32,659.57949153,691.57949153
08005,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,32,168.5740625,200.5740625
08012,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,76,293.81437562,369.81437562
08034,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,65,173.92322511825,119.461612559125
08036,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,152,430.36382967833333,291.18191483916667
08037,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2,104,174.84317413579998,139.4215870679
08043,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,194,168.3339573936,362.33395739360003
08053,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8,347,283.03973031625003,78.75496628953125
